trace_id,span_id,service,operation,source_field,value
80df9fbdc20b3a2e3dbd88bc4eeb7288,4403da32c12da7ca,ts-gateway-service,GET,http.url,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
80df9fbdc20b3a2e3dbd88bc4eeb7288,4403da32c12da7ca,ts-gateway-service,GET,http.url,16111
80df9fbdc20b3a2e3dbd88bc4eeb7288,8565f2408d7cdca7,ts-gateway-service,GET /*,http.target,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
80df9fbdc20b3a2e3dbd88bc4eeb7288,55e7ea2b5a3a36e3,ts-consign-service,GET /api/v1/consignservice/consigns/account/{id},http.target,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
756b3670eed348954cfac5a537cf4b09,efa5b3d9b60856ca,ts-gateway-service,GET,http.url,16113
756b3670eed348954cfac5a537cf4b09,42b4b4f836e156c3,ts-admin-route-service,GET,http.url,11178
4e56e9e482f04d5c742ed498db77a838,e2c615b6552e1f79,ts-gateway-service,GET,http.url,15678
2f4f7c98dfb049ff39d0c11f46146c66,1c33824a03e6070a,ts-gateway-service,POST,http.url,12032
6969570a8097cc4c6d17d42a262f3249,fbbed1599eb42a97,ts-gateway-service,POST,http.url,18767
6969570a8097cc4c6d17d42a262f3249,f0698e3fc5edc274,ts-admin-basic-info-service,POST,http.url,14567
9f180e1dd5083908cbc1d6c38ed7df2b,a4d51a3c5a7093cd,ts-gateway-service,POST,http.url,12346
80526dcaab94ae895ebe2f0578e1db22,de20c6402f196437,ts-gateway-service,GET,http.url,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
80526dcaab94ae895ebe2f0578e1db22,de20c6402f196437,ts-gateway-service,GET,http.url,16111
80526dcaab94ae895ebe2f0578e1db22,d22c0812f3940066,ts-gateway-service,GET /*,http.target,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
80526dcaab94ae895ebe2f0578e1db22,ea0f6c46c7a6b61a,ts-consign-service,GET /api/v1/consignservice/consigns/account/{id},http.target,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
e0937b09557435d95f6a2a14529b1c07,d3a50ab9c0fbe385,ts-admin-basic-info-service,GET,http.url,14567
e0937b09557435d95f6a2a14529b1c07,1e04069621f6b8da,ts-gateway-service,GET,http.url,18767
950a2007bc0c7630030f300571e26970,82b9c3d8079d7142,ts-admin-order-service,GET,http.url,12031
950a2007bc0c7630030f300571e26970,4075f9eec3a1acec,ts-admin-order-service,GET,http.url,12032
950a2007bc0c7630030f300571e26970,ed21ab60d1b78cd8,ts-gateway-service,GET,http.url,16112
877e8286350b6ccb132cd74ff73afc9b,324c971a662653a2,ts-gateway-service,GET,http.url,18767
